visit_id	wifi_id	date	indices
v11354	12818	17227	265755;265756;265757;265758;265762;265763;265764;265771;265799;265800;265806;265807;265809;265871;265876;265881;265882;265884;265888;265905;266031;266218;266334;266336;266338
v11430	12924	17215	216733;216739;216742;216770;216791;216801;216814;216868;216874;216914;216918;216920;216925;216926;216968;216970;216990;217007;217110;217112;217114
v11431	12924	17329	502123;502124;502125;502126;502127
v11476	12990	17312	467268;467269;467270;467271;467274
v11563	13140	17177	51410;51411;51429;51430;51434;51435;51453;51459;51496;51499;51539
v11564	13140	17225	258805;258806;258833;258834;258835;258839;258893;258942;259001;259026;259029;259030;259062;259063;259108;259110
v11612	13209	17343	528351;528352;528353;528355;528356;528357;528363;528364
v11613	13209	17344	530133;530134;530139
v11662	13285	17206	178439;178440;178441;178442;178443;178446
v12073	13952	17273	402352;402353;402359;402361;402362;402364;402463;402586;402613;402616;402618
v12191	14157	17197	135200;135201;135202;135205;135206;135230;135231;135239;135292;135293;135305;135364;136589;136590;136591;136592
v12213	14186	17210	195466;195467;195468;195469;195472;195477;195495;195500;195501;195502;195504;195507;195559;195561;195563;195568;195570;195571;195572;195573;195578;196062;196063;196064;196070
v12250	14255	17194	118304;118305;118307;118308;118311;118315;118354;119406;119407;119413;119416;119425
v12251	14255	17258	379604;379605;379606;379607;379614;379640;379680;379682;379686;379697
v12532	14719	17179	58176;58177;58178;58183;58184;58187
v12533	14719	17188	96151;96152;96154;96155;96171;96188;96263;96267;96278;96281;96289;96436;96458;96462;96544;96549;96552;96607;96608
v12582	14795	17235	297661;297668;297669;297732;297733;297738;297749;297803;297804;297805;297806;297835;297864;297900;297907;297908;297915;297994;298347;298348;298349;298350;298396;298437;298493
v12588	14803	17173	33445;33446;33447;33448;33452;33455;33460;33479
v12589	14803	17238	312410;312411;312412;312413;312416;312418;312419
v12716	14993	17173	33545;33546;33547;33548;33549;33554;34898;34902;34903;34905;34909;34912;34916;34917;34919;35116;35124;35135;35141;35171;35173;36410
v12724	15013	17181	66272;66273;66275;66276;66277;66299;66306;66330;66333;66334;66340;66343;66344;66486;66509
v12725	15013	17197	133936;133938;133939;133940;133944;133951;133958;133962
v12809	15120	17190	107696;107697;107698;107699;107703;107716;107732;107733;107734;107814
v12810	15120	17277	409740;409741;409742;409743;409744;409761;409762;409763
v13017	15489	17259	383475;383476;383478;383513
v13018	15489	17332	507526;507527;507532;507533;507534;507535;507539
v13081	15593	17296	441194;441195;441197;441198;441200;441202;441204;441205;441206;441207;441299;441332;441334;441335
v13082	15593	17314	472404;472469;472472;472473;472474;472636;472640
v13310	15980	17255	367159;367160;367200;367209;367213;367224;367267;367290;367318;367333;367334;367369;367403;367483;367486;367493;367499;367512;367650;367651;367654;367656;367707;367734;367735
v13311	15984	17226	263815;263816;263817;263818;263819;263820;263821;263832;263837
v13312	15984	17251	357347;357348;357350;357351;357416;357418;357448;357459;357492
v13496	16301	17229	273882;273883
v13497	16301	17290	432253;432254;432255;432257;432282;432285;432286;432290;432317;432373;432375;432376
v13672	16604	17258	376170;376171;376172;376201;376204;376233;376240;376265
v13673	16604	17329	502587;502588;502596;502598;502599;502601;502602;502603;502609;502613;502652;502653;502654
v13676	16613	17216	221303;221304;221305;221307
v13677	16613	17226	261764;261765;261768;261769;261779;261783;261784;261785;261802;261803;261804;261809;261821;261850
v13800	16839	17237	307312;307314;307315;307316;307331;307345;307353;307369;307372;307377;307395;307407;307410;307412;307413;307419;307663;307667;307758;307958;307964;307965
v14002	17208	17246	341300;341301;341302;341305;341306
v14003	17208	17249	347940;347942
v14004	17208	17253	363755;363757;363758;363769
v14005	17208	17254	365993;365994;365995;365999
v14023	17238	17188	96789;96791;96795;96796;96797;96799;96802;96811;96812;96815
v14275	17676	17176	47836;47837;47840;47841;47842;47843;47844;47846;47855;47856;47858;48060;48100;48103;48105
v14409	17930	17178	56314;56317;56318;56320;56330;56333;56349;56350;56354;56362;56366;56453;56531;56534;56539;56545;56546;56547;56549;56556;56560;56565;56575;56595
v14561	18221	17296	441079;441080;441083;441084;441087;441110;441118;441119;441128
v14767	18589	17167	1884;1885;1936;1937;1947;1967
v14768	18589	17258	378090;378091;378103;378109;378120
v14769	18589	17304	454429;454430;454431;454433;454454;454479;454482
v14807	18675	17170	23103;23104;23105;23108;23115
v14808	18675	17202	159633;159634;159636;159641;159643;159669;159674;159675;159687;159689;159730;159746;159761
